"","SentenceID","Label","critical_word","Sentence"
"32",32,"exp.a.8","appeared","The perception appeared to be true."
"33",33,"exp.c.9","proved","The assertion that the banker who the analyst defrauded trusted the customer proved to be made up."
"34",34,"exp.d.9","proved","The assertion that the banker who the analyst who overlooked suspicious transactions defrauded trusted the customer proved to be made up."
"35",35,"exp.a.9","proved","The assertion proved to be made up."
"36",36,"exp.b.9","proved","The assertion that the banker trusted the customer proved to be made up."
"37",37,"exp.c.10","was","The impression that the judge who the attorney hated acquitted the defendant was a lie."
"38",38,"exp.d.10","was","The impression that the judge who the attorney who presented compelling evidence hated acquitted the defendant was a lie."
"39",39,"exp.a.10","was","The impression was a lie."
"40",40,"exp.b.10","was","The impression that the judge acquitted the defendant was a lie."
"41",41,"exp.d.11","seemed","The observation that the neighbour who the woman who heard rumors distrusted poisoned the dog seemed to be a malicious smear."
"42",42,"exp.b.11","seemed","The observation that the neighbour poisoned the dog seemed to be a malicious smear."
"43",43,"exp.c.11","seemed","The observation that the neighbour who the woman distrusted poisoned the dog seemed to be a malicious smear."
"44",44,"exp.a.11","seemed","The observation seemed to be a malicious smear."
"45",45,"exp.a.12","was","The reminder was sad to hear."
"46",46,"exp.c.12","was","The reminder that the actor who the producer blamed got very sick was sad to hear."
"47",47,"exp.d.12","was","The reminder that the actor who the producer who directed scenes blamed got very sick was sad to hear."
"48",48,"exp.b.12","was","The reminder that the actor got very sick was sad to hear."
"49",49,"exp.c.13","was","The indication that the captain who the crew trusted commanded the sailor was nice to hear."
"50",50,"exp.a.13","was","The indication was nice to hear."
"51",51,"exp.d.13","was","The indication that the captain who the crew who saved lives trusted commanded the sailor was nice to hear."
"52",52,"exp.b.13","was","The indication that the captain commanded the sailor was nice to hear."
"53",53,"exp.a.14","seemed","The complaint seemed absurd."
"54",54,"exp.c.14","seemed","The complaint that the manager who the boss authorized hired the intern seemed absurd."
"55",55,"exp.b.14","seemed","The complaint that the manager hired the intern seemed absurd."
"56",56,"exp.d.14","seemed","The complaint that the manager who the boss who approved documents authorized hired the intern seemed absurd."
"57",57,"exp.a.15","was","The evidence was entirely correct."
"58",58,"exp.b.15","was","The evidence that the bully harassed the boy was entirely correct."
"59",59,"exp.c.15","was","The evidence that the bully who the children hated harassed the boy was entirely correct."
"60",60,"exp.d.15","was","The evidence that the bully who the children who suffered abuse hated harassed the boy was entirely correct."
"61",61,"exp.c.16","reached","The rumor that the plaintiff who the jury interrogated interrupted the witness reached the news."
"62",62,"exp.d.16","reached","The rumor that the plaintiff who the jury who examined documents interrogated interrupted the witness reached the news."
"63",63,"exp.a.16","reached","The rumor reached the news."
"64",64,"exp.b.16","reached","The rumor that the plaintiff interrupted the witness reached the news."
"65",65,"exp.d.17","sounds","The prediction that the drunkard who the thug who stumbled clumsily hit outwitted the bartender sounds hilarious."
"66",66,"exp.c.17","sounds","The prediction that the drunkard who the thug hit outwitted the bartender sounds hilarious."
"67",67,"exp.b.17","sounds","The prediction that the drunkard outwitted the bartender sounds hilarious."
"68",68,"exp.a.17","sounds","The prediction sounds hilarious."
"69",69,"exp.d.18","proved","The opinion that the medic who the survivor who received treatment thanked greeted the surgeon proved to be untrue."
"70",70,"exp.a.18","proved","The opinion proved to be untrue."
"71",71,"exp.c.18","proved","The opinion that the medic who the survivor thanked greeted the surgeon proved to be untrue."
"72",72,"exp.b.18","proved","The opinion that the medic greeted the surgeon proved to be untrue."
"73",73,"exp.b.19","took","The confirmation that the lifesaver rescued the swimmer took the townspeople by surprise."
"74",74,"exp.d.19","took","The confirmation that the lifesaver who the soldier who demonstrated techniques taught rescued the swimmer took the townspeople by surprise."
"75",75,"exp.a.19","took","The confirmation took the townspeople by surprise."
"76",76,"exp.c.19","took","The confirmation that the lifesaver who the soldier taught rescued the swimmer took the townspeople by surprise."
"77",77,"exp.d.20","was","The remark that the fisherman who the gardener who planted seeds helped admired the politician was interesting."
"78",78,"exp.a.20","was","The remark was interesting."
"79",79,"exp.c.20","was","The remark that the fisherman who the gardener helped admired the politician was interesting."
"80",80,"exp.b.20","was","The remark that the fisherman admired the politician was interesting."
"81",81,"exp.b.21","was","The assumption that the janitor ignored the audience was funny."
"82",82,"exp.d.21","was","The assumption that the janitor who the organiser who planned events criticised ignored the audience was funny."
"83",83,"exp.a.21","was","The assumption was funny."
"84",84,"exp.c.21","was","The assumption that the janitor who the organiser criticised ignored the audience was funny."
"85",85,"exp.a.22","drove","The statement drove everyone crazy."
"86",86,"exp.b.22","drove","The statement that the investor deceived the entrepreneur drove everyone crazy."
"87",87,"exp.d.22","drove","The statement that the investor who the scientist who published research detested deceived the entrepreneur drove everyone crazy."
"88",88,"exp.c.22","drove","The statement that the investor who the scientist detested deceived the entrepreneur drove everyone crazy."
"89",89,"exp.d.23","went","The idea that the firefighter who the neighbour who spread rumors insulted rescued the houseowner went unnoticed."
"90",90,"exp.b.23","went","The idea that the firefighter rescued the houseowner went unnoticed."
"91",91,"exp.c.23","went","The idea that the firefighter who the neighbour insulted rescued the houseowner went unnoticed."
"92",92,"exp.a.23","went","The idea went unnoticed."
"93",93,"exp.c.24","was","The announcement that the agent who the FBI sent arrested the criminal was acknowledged."
"94",94,"exp.d.24","was","The announcement that the agent who the FBI who conducted investigations sent arrested the criminal was acknowledged."
"95",95,"exp.a.24","was","The announcement was acknowledged."
"96",96,"exp.b.24","was","The announcement that the agent arrested the criminal was acknowledged."
"97",97,"exp.d.25","was","The news that the plumber who the apprentice who needed advice consulted assisted the woman was true."
"98",98,"exp.a.25","was","The news was true."
"99",99,"exp.b.25","was","The news that the plumber assisted the woman was true."
"100",100,"exp.c.25","was","The news that the plumber who the apprentice consulted assisted the woman was true."
"101",101,"exp.b.26","deserved","The thought that the senator defeated the opponent deserved attention."
"102",102,"exp.d.26","deserved","The thought that the senator who the diplomat who sought influence supported defeated the opponent deserved attention."
"103",103,"exp.c.26","deserved","The thought that the senator who the diplomat supported defeated the opponent deserved attention."
"104",104,"exp.a.26","deserved","The thought deserved attention."
"105",105,"exp.b.27","did","The truth that the fiance married the bride did not surprise anyone."
"106",106,"exp.d.27","did","The truth that the fiance who the author who wrote novels met married the bride did not surprise anyone."
"107",107,"exp.c.27","did","The truth that the fiance who the author met married the bride did not surprise anyone."
"108",108,"exp.a.27","did","The truth did not surprise anyone."
"109",109,"exp.b.28","came","The belief that the businessman fired the employee came as a disappointment."
"110",110,"exp.c.28","came","The belief that the businessman who the sponsor backed fired the employee came as a disappointment."
"111",111,"exp.a.28","came","The belief came as a disappointment."
"112",112,"exp.d.28","came","The belief that the businessman who the sponsor who provided funding backed fired the employee came as a disappointment."
"113",113,"exp.d.29","shocked","The conjecture that the thief who the detective who investigated crimes caught robbed the woman shocked her family."
"114",114,"exp.b.29","shocked","The conjecture that the thief robbed the woman shocked her family."
"115",115,"exp.a.29","shocked","The conjecture shocked her family."
"116",116,"exp.c.29","shocked","The conjecture that the thief who the detective caught robbed the woman shocked her family."
"117",117,"exp.c.30","seemed","The accusation that the criminal who the stranger distracted abducted the officer seemed concerning."
"118",118,"exp.b.30","seemed","The accusation that the criminal abducted the officer seemed concerning."
"119",119,"exp.d.30","seemed","The accusation that the criminal who the stranger who caused chaos distracted abducted the officer seemed concerning."
"120",120,"exp.a.30","seemed","The accusation seemed concerning."
"121",121,"exp.c.31","was","The contention that the customer who the vendor welcomed contacted the clerk was very believable."
"122",122,"exp.b.31","was","The contention that the customer contacted the clerk was very believable."
"123",123,"exp.a.31","was","The contention was very believable."
"124",124,"exp.d.31","was","The contention that the customer who the vendor who provided assistance welcomed contacted the clerk was very believable."
"125",125,"exp.c.32","troubled","The concern that the commander who the president appointed resigned yesterday troubled people."
"126",126,"exp.d.32","troubled","The concern that the commander who the president who made decisions appointed resigned yesterday troubled people."
"127",127,"exp.b.32","troubled","The concern that the commander resigned yesterday troubled people."
"128",128,"exp.a.32","troubled","The concern troubled people."
"129",129,"exp.d.33","calmed","The conclusion that the trickster who the woman who wore a hat recognized was arrested by the police calmed people down."
"130",130,"exp.a.33","calmed","The conclusion calmed people down."
"131",131,"exp.b.33","calmed","The conclusion that the trickster was arrested by the police calmed people down."
"132",132,"exp.c.33","calmed","The conclusion that the trickster who the woman recognized was arrested by the police calmed people down."
"133",133,"exp.d.34","did","The disclosure that the administrator who the farmer who provided support endorsed was elected three days ago did not bother the farmer."
"134",134,"exp.b.34","did","The disclosure that the administrator was elected three days ago did not bother the farmer."
"135",135,"exp.c.34","did","The disclosure that the administrator who the farmer endorsed was elected three days ago did not bother the farmer."
"136",136,"exp.a.34","did","The disclosure did not bother the farmer."
"137",137,"exp.c.35","gave","The allegation that the politician who the banker bribed seemed corrupt to everyone gave John the chills."
"138",138,"exp.d.35","gave","The allegation that the politician who the banker who laundered money bribed seemed corrupt to everyone gave John the chills."
"139",139,"exp.b.35","gave","The allegation that the politician seemed corrupt to everyone gave John the chills."
"140",140,"exp.a.35","gave","The allegation gave John the chills."
"141",141,"exp.d.36","did","The speculation that the sculptor who the painter who exhibited talent admired made sculptures in the US did not surprise anyone."
"142",142,"exp.c.36","did","The speculation that the sculptor who the painter admired made sculptures in the US did not surprise anyone."
"143",143,"exp.a.36","did","The speculation did not surprise anyone."
"144",144,"exp.b.36","did","The speculation that the sculptor made sculptures in the US did not surprise anyone."
"145",145,"exp.b.37","turned","The myth that the runner won the marathon in France turned out to be incorrect."
"146",146,"exp.a.37","turned","The myth turned out to be incorrect."
"147",147,"exp.d.37","turned","The myth that the runner who the psychiatrist who struggled with anxiety treated won the marathon in France turned out to be incorrect."
"148",148,"exp.c.37","turned","The myth that the runner who the psychiatrist treated won the marathon in France turned out to be incorrect."
"149",149,"exp.d.38","was","The recognition that the analyst who the banker who managed investments trusted repaired the TV this morning was very believable."
"150",150,"exp.c.38","was","The recognition that the analyst who the banker trusted repaired the TV this morning was very believable."
"151",151,"exp.b.38","was","The recognition that the analyst repaired the TV this morning was very believable."
"152",152,"exp.a.38","was","The recognition was very believable."
"153",153,"exp.a.39","seemed","The view seemed very interesting."
"154",154,"exp.b.39","seemed","The view that the child wrote articles in newspapers seemed very interesting."
"155",155,"exp.c.39","seemed","The view that the child who the medic rescued wrote articles in newspapers seemed very interesting."
"156",156,"exp.d.39","seemed","The view that the child who the medic who provided aid rescued wrote articles in newspapers seemed very interesting."
"157",157,"exp.c.40","was","The notion that the carpenter who the craftsman carried hurt the apprentice was acknowledged."
"158",158,"exp.d.40","was","The notion that the carpenter who the craftsman who designed cabinets carried hurt the apprentice was acknowledged."
"159",159,"exp.a.40","was","The notion was acknowledged."
"160",160,"exp.b.40","was","The notion that the carpenter hurt the apprentice was acknowledged."
"161",161,"exp.c.41","seemed","The proof that the daughter who the sister found greeted the grandmother seemed concerning."
"162",162,"exp.d.41","seemed","The proof that the daughter who the sister who lost contact found greeted the grandmother seemed concerning."
"163",163,"exp.a.41","seemed","The proof seemed concerning."
"164",164,"exp.b.41","seemed","The proof that the daughter greeted the grandmother seemed concerning."
"165",165,"exp.c.42","proved","The fact that the tenant who the foreman looked for questioned the shepherd proved to be made up."
"166",166,"exp.a.42","proved","The fact proved to be made up."
"167",167,"exp.d.42","proved","The fact that the tenant who the foreman who supplied materials looked for questioned the shepherd proved to be made up."
"168",168,"exp.b.42","proved","The fact that the tenant questioned the shepherd proved to be made up."
"169",169,"exp.a.43","sounded","The suggestion sounded surprising."
"170",170,"exp.b.43","sounded","The suggestion that the pharmacist questioned the customer sounded surprising."
"171",171,"exp.d.43","sounded","The suggestion that the pharmacist who the stranger who inquired prescriptions saw questioned the customer sounded surprising."
"172",172,"exp.c.43","sounded","The suggestion that the pharmacist who the stranger saw questioned the customer sounded surprising."
"173",173,"exp.d.44","had","The revelation that the paediatrician who the receptionist who scheduled appointments worked for mistrusted the parent had troubled people."
"174",174,"exp.a.44","had","The revelation had troubled people."
"175",175,"exp.c.44","had","The revelation that the paediatrician who the receptionist worked for mistrusted the parent had troubled people."
"176",176,"exp.b.44","had","The revelation that the paediatrician mistrusted the parent had troubled people."
"177",177,"exp.a.45","collapsed","The forecast collapsed under scrutiny."
"178",178,"exp.b.45","collapsed","The forecast that the meteorologist predicted rain collapsed under scrutiny."
"179",179,"exp.c.45","collapsed","The forecast that the meteorologist who the reporter interviewed predicted rain collapsed under scrutiny."
"180",180,"exp.d.45","collapsed","The forecast that the meteorologist who the reporter who covered weather events interviewed predicted rain collapsed under scrutiny."
"181",181,"exp.a.46","persuaded","The invitation persuaded the committee."
"182",182,"exp.b.46","persuaded","The invitation that the host sent to the guest persuaded the committee."
"183",183,"exp.c.46","persuaded","The invitation that the host who the committee respected sent to the guest persuaded the committee."
"184",184,"exp.d.46","persuaded","The invitation that the host who the committee who organized the party respected sent to the guest persuaded the committee."
"185",185,"exp.a.47","admitted","The suspicion admitted no doubt."
"186",186,"exp.b.47","admitted","The suspicion that the clerk stole the money admitted no doubt."
"187",187,"exp.c.47","admitted","The suspicion that the clerk who the supervisor distrusted stole the money admitted no doubt."
"188",188,"exp.d.47","admitted","The suspicion that the clerk who the supervisor who monitored finances distrusted stole the money admitted no doubt."
"189",189,"exp.a.48","complained","The recollection complained of injustice."
"190",190,"exp.b.48","complained","The recollection that the traveler saw the monument complained of injustice."
"191",191,"exp.c.48","complained","The recollection that the traveler who the historian guided saw the monument complained of injustice."
"192",192,"exp.d.48","complained","The recollection that the traveler who the historian who published articles guided saw the monument complained of injustice."
"193",193,"exp.a.49","predicted","The explanation predicted failure."
"194",194,"exp.b.49","predicted","The explanation that the teacher provided examples predicted failure."
"195",195,"exp.c.49","predicted","The explanation that the teacher who the students admired provided examples predicted failure."
"196",196,"exp.d.49","predicted","The explanation that the teacher who the students who attended lectures admired provided examples predicted failure."
"197",197,"exp.a.50","revealed","The statement revealed hidden truths."
"198",198,"exp.b.50","revealed","The statement that the singer performed the song revealed hidden truths."
"199",199,"exp.c.50","revealed","The statement that the singer who the fans adored performed the song revealed hidden truths."
"200",200,"exp.d.50","revealed","The statement that the singer who the fans who attended concerts adored performed the song revealed hidden truths."
"201",201,"exp.a.51","confessed","The impression confessed uncertainty."
"202",202,"exp.b.51","confessed","The impression that the politician changed the law confessed uncertainty."
"203",203,"exp.c.51","confessed","The impression that the politician who the journalist interviewed changed the law confessed uncertainty."
"204",204,"exp.d.51","confessed","The impression that the politician who the journalist who investigated corruption interviewed changed the law confessed uncertainty."
"205",205,"exp.a.52","announced","The recollection announced defeat."
"206",206,"exp.b.52","announced","The recollection that the soldier lost the battle announced defeat."
"207",207,"exp.c.52","announced","The recollection that the soldier who the general commanded lost the battle announced defeat."
"208",208,"exp.d.52","announced","The recollection that the soldier who the general who issued orders commanded lost the battle announced defeat."
"209",209,"exp.a.53","demanded","The conclusion demanded attention."
"210",210,"exp.b.53","demanded","The conclusion that the detective solved the mystery demanded attention."
"211",211,"exp.c.53","demanded","The conclusion that the detective who the inspector trusted solved the mystery demanded attention."
"212",212,"exp.d.53","demanded","The conclusion that the detective who the inspector who filed reports trusted solved the mystery demanded attention."
"213",213,"exp.a.54","celebrated","The suggestion celebrated innovation."
"214",214,"exp.b.54","celebrated","The suggestion that the engineer fixed the machine celebrated innovation."
"215",215,"exp.c.54","celebrated","The suggestion that the engineer who the manager praised fixed the machine celebrated innovation."
"216",216,"exp.d.54","celebrated","The suggestion that the engineer who the manager who supervised projects praised fixed the machine celebrated innovation."
"217",217,"exp.a.55","exposed","The rumor exposed hidden corruption."
"218",218,"exp.b.55","exposed","The rumor that the minister accepted bribes exposed hidden corruption."
"219",219,"exp.c.55","exposed","The rumor that the minister who the journalist interviewed accepted bribes exposed hidden corruption."
"220",220,"exp.d.55","exposed","The rumor that the minister who the journalist who investigated scandals interviewed accepted bribes exposed hidden corruption."
"221",221,"exp.a.56","alleged","The claim alleged dishonesty."
"222",222,"exp.b.56","alleged","The claim that the banker manipulated the accounts alleged dishonesty."
"223",223,"exp.c.56","alleged","The claim that the banker who the auditors distrusted manipulated the accounts alleged dishonesty."
"224",224,"exp.d.56","alleged","The claim that the banker who the auditors who reviewed documents distrusted manipulated the accounts alleged dishonesty."
"225",225,"exp.a.57","unsettled","The opinion unsettled the audience."
"226",226,"exp.b.57","unsettled","The opinion that the actor criticized the director unsettled the audience."
"227",227,"exp.c.57","unsettled","The opinion that the actor who the producer disliked criticized the director unsettled the audience."
"228",228,"exp.d.57","unsettled","The opinion that the actor who the producer who financed the movie disliked criticized the director unsettled the audience."
"229",229,"exp.a.58","contradicted","The message contradicted expectations."
"230",230,"exp.b.58","contradicted","The message that the ambassador supported the policy contradicted expectations."
"231",231,"exp.c.58","contradicted","The message that the ambassador who the diplomat trusted supported the policy contradicted expectations."
"232",232,"exp.d.58","contradicted","The message that the ambassador who the diplomat who attended meetings trusted supported the policy contradicted expectations."
"233",233,"exp.a.59","persuaded","The warning persuaded the villagers."
"234",234,"exp.b.59","persuaded","The warning that the soldiers would invade persuaded the villagers."
"235",235,"exp.c.59","persuaded","The warning that the soldiers who the general commanded would invade persuaded the villagers."
"236",236,"exp.d.59","persuaded","The warning that the soldiers who the general who designed the strategy commanded would invade persuaded the villagers."
"237",237,"exp.a.60","troubled","The explanation troubled the parents."
"238",238,"exp.b.60","troubled","The explanation that the nurse neglected the patient troubled the parents."
"239",239,"exp.c.60","troubled","The explanation that the nurse who the doctor supervised neglected the patient troubled the parents."
"240",240,"exp.d.60","troubled","The explanation that the nurse who the doctor who filed complaints supervised neglected the patient troubled the parents."
"241",241,"exp.a.65","sparked","The rumor sparked anger."
"242",242,"exp.b.65","sparked","The rumor that the mayor canceled the project sparked anger."
"243",243,"exp.c.65","sparked","The rumor that the mayor who the citizens criticized canceled the project sparked anger."
"244",244,"exp.d.65","sparked","The rumor that the mayor who the citizens who paid high taxes criticized canceled the project sparked anger."
"245",245,"exp.a.66","challenged","The explanation challenged old beliefs."
"246",246,"exp.b.66","challenged","The explanation that the monk rejected the doctrine challenged old beliefs."
"247",247,"exp.c.66","challenged","The explanation that the monk who the villagers respected rejected the doctrine challenged old beliefs."
"248",248,"exp.d.66","challenged","The explanation that the monk who the villagers who attended rituals respected rejected the doctrine challenged old beliefs."
"249",249,"exp.a.67","disrupted","The story disrupted the celebration."
"250",250,"exp.b.67","disrupted","The story that the singer insulted the audience disrupted the celebration."
"251",251,"exp.c.67","disrupted","The story that the singer who the fans admired insulted the audience disrupted the celebration."
"252",252,"exp.d.67","disrupted","The story that the singer who the fans who bought tickets admired insulted the audience disrupted the celebration."
"253",253,"exp.a.68","justified","The proposal justified the decision."
"254",254,"exp.b.68","justified","The proposal that the council increased the budget justified the decision."
"255",255,"exp.c.68","justified","The proposal that the council who the mayor supported increased the budget justified the decision."
"256",256,"exp.d.68","justified","The proposal that the council who the mayor who sought reelection supported increased the budget justified the decision."
"257",257,"exp.a.69","astonished","The discovery astonished the scientists."
"258",258,"exp.b.69","astonished","The discovery that the student solved the equation astonished the scientists."
"259",259,"exp.c.69","astonished","The discovery that the student who the professor mentored solved the equation astonished the scientists."
"260",260,"exp.d.69","astonished","The discovery that the student who the professor who wrote textbooks mentored solved the equation astonished the scientists."
"261",261,"exp.a.70","confirmed","The report confirmed the suspicion."
"262",262,"exp.b.70","confirmed","The report that the lawyer hid the evidence confirmed the suspicion."
"263",263,"exp.c.70","confirmed","The report that the lawyer who the judge mistrusted hid the evidence confirmed the suspicion."
"264",264,"exp.d.70","confirmed","The report that the lawyer who the judge who presided over the trial mistrusted hid the evidence confirmed the suspicion."
"265",265,"exp.a.71","divided","The opinion divided the panel."
"266",266,"exp.b.71","divided","The opinion that the coach dismissed the player divided the panel."
"267",267,"exp.c.71","divided","The opinion that the coach who the fans supported dismissed the player divided the panel."
"268",268,"exp.d.71","divided","The opinion that the coach who the fans who attended games supported dismissed the player divided the panel."
"269",269,"exp.a.72","supported","The testimony supported the argument."
"270",270,"exp.b.72","supported","The testimony that the witness saw the suspect supported the argument."
"271",271,"exp.c.72","supported","The testimony that the witness who the police interrogated saw the suspect supported the argument."
"272",272,"exp.d.72","supported","The testimony that the witness who the police who collected fingerprints interrogated saw the suspect supported the argument."
"273",273,"exp.a.73","predicted","The prediction predicted success."
"274",274,"exp.b.73","predicted","The prediction that the student passed the exam predicted success."
"275",275,"exp.c.73","predicted","The prediction that the student who the tutor guided passed the exam predicted success."
"276",276,"exp.d.73","predicted","The prediction that the student who the tutor who taught classes guided passed the exam predicted success."
"277",277,"exp.a.74","overturned","The conclusion overturned the precedent."
"278",278,"exp.b.74","overturned","The conclusion that the court rejected the evidence overturned the precedent."
"279",279,"exp.c.74","overturned","The conclusion that the court that the lawyers challenged rejected the evidence overturned the precedent."
"280",280,"exp.d.74","overturned","The conclusion that the court that the lawyers who appealed frequently challenged rejected the evidence overturned the precedent."
"281",281,"exp.a.75","spread","The rumor spread quickly."
"282",282,"exp.b.75","spread","The rumor that the journalist published spread quickly."
"283",283,"exp.c.75","spread","The rumor that the journalist who the editor hired published spread quickly."
"284",284,"exp.d.75","spread","The rumor that the journalist who the editor who managed the newspaper hired published spread quickly."
"285",285,"exp.a.76","questioned","The explanation questioned common sense."
"286",286,"exp.b.76","questioned","The explanation that the witness changed his story questioned common sense."
"287",287,"exp.c.76","questioned","The explanation that the witness who the jury distrusted changed his story questioned common sense."
"288",288,"exp.d.76","questioned","The explanation that the witness who the jury who reviewed the testimony distrusted changed his story questioned common sense."
"289",289,"exp.a.77","overturned","The conclusion overturned tradition."
"290",290,"exp.b.77","overturned","The conclusion that the scientist dismissed the theory overturned tradition."
"291",291,"exp.c.77","overturned","The conclusion that the scientist who the professor challenged dismissed the theory overturned tradition."
"292",292,"exp.d.77","overturned","The conclusion that the scientist who the professor who taught at the university challenged dismissed the theory overturned tradition."
"293",293,"exp.a.78","revealed","The statement revealed dishonesty."
"294",294,"exp.b.78","revealed","The statement that the manager fired the assistant revealed dishonesty."
"295",295,"exp.c.78","revealed","The statement that the manager who the director promoted fired the assistant revealed dishonesty."
"296",296,"exp.d.78","revealed","The statement that the manager who the director who managed the company promoted fired the assistant revealed dishonesty."
"297",297,"exp.a.79","alarmed","The warning alarmed the residents."
"298",298,"exp.b.79","alarmed","The warning that the river would flood alarmed the residents."
"299",299,"exp.c.79","alarmed","The warning that the river that the farmers depended on would flood alarmed the residents."
"300",300,"exp.d.79","alarmed","The warning that the river that the farmers who cultivated rice depended on would flood alarmed the residents."
"301",301,"exp.a.80","amazed","The discovery amazed the archaeologists."
"302",302,"exp.b.80","amazed","The discovery that the student uncovered the artifact amazed the archaeologists."
"303",303,"exp.c.80","amazed","The discovery that the student who the professor advised uncovered the artifact amazed the archaeologists."
"304",304,"exp.d.80","amazed","The discovery that the student who the professor who wrote articles advised uncovered the artifact amazed the archaeologists."
"305",305,"exp.a.81","confirmed","The announcement confirmed the fears."
"306",306,"exp.b.81","confirmed","The announcement that the pilot canceled the flight confirmed the fears."
"307",307,"exp.c.81","confirmed","The announcement that the pilot who the passengers trusted canceled the flight confirmed the fears."
"308",308,"exp.d.81","confirmed","The announcement that the pilot who the passengers who booked tickets trusted canceled the flight confirmed the fears."
"309",309,"exp.a.82","alleged","The allegation alleged corruption."
"310",310,"exp.b.82","alleged","The allegation that the officer took bribes alleged corruption."
"311",311,"exp.c.82","alleged","The allegation that the officer who the inspector monitored took bribes alleged corruption."
"312",312,"exp.d.82","alleged","The allegation that the officer who the inspector who supervised cases monitored took bribes alleged corruption."
"313",313,"exp.a.83","contradicted","The observation contradicted expectations."
"314",314,"exp.b.83","contradicted","The observation that the teacher praised the student contradicted expectations."
"315",315,"exp.c.83","contradicted","The observation that the teacher who the parents criticized praised the student contradicted expectations."
"316",316,"exp.d.83","contradicted","The observation that the teacher who the parents who attended meetings criticized praised the student contradicted expectations."
"317",317,"exp.a.84","supported","The testimony supported the claim."
"318",318,"exp.b.84","supported","The testimony that the witness recognized the thief supported the claim."
"319",319,"exp.c.84","supported","The testimony that the witness who the detective questioned recognized the thief supported the claim."
"320",320,"exp.d.84","supported","The testimony that the witness who the detective who wrote reports questioned recognized the thief supported the claim."
"321",321,"exp.a.85","influenced","The notion influenced the debate."
"322",322,"exp.b.85","influenced","The notion that the philosopher defended the idea influenced the debate."
"323",323,"exp.c.85","influenced","The notion that the philosopher who the students respected defended the idea influenced the debate."
"324",324,"exp.d.85","influenced","The notion that the philosopher who the students who attended lectures respected defended the idea influenced the debate."
"325",325,"exp.a.86","shaped","The belief shaped the policy."
"326",326,"exp.b.86","shaped","The belief that the council adopted new rules shaped the policy."
"327",327,"exp.c.86","shaped","The belief that the council that the mayor supported adopted new rules shaped the policy."
"328",328,"exp.d.86","shaped","The belief that the council that the mayor who won elections supported adopted new rules shaped the policy."
"329",329,"exp.a.87","justified","The proposal justified the reform."
"330",330,"exp.b.87","justified","The proposal that the committee amended the law justified the reform."
"331",331,"exp.c.87","justified","The proposal that the committee that the chairman led amended the law justified the reform."
"332",332,"exp.d.87","justified","The proposal that the committee that the chairman who published articles led amended the law justified the reform."
"333",333,"exp.a.88","clarified","The report clarified the confusion."
"334",334,"exp.b.88","clarified","The report that the journalist described the scandal clarified the confusion."
"335",335,"exp.c.88","clarified","The report that the journalist who the editor supervised described the scandal clarified the confusion."
